DatasetID,ID,latitude,longitude,CommonName,SpeciesName,TSN,Count,DateTime,UploadDate,ResearchOrganization,Contact,Depth,SST
328,328_108,25.972833,-77.372983,Blainville's beaked whale,Mesoplodon densirostris,180517,5,2002/06/07 09:02:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,25,26.55
328,328_176,25.877017,-77.285483,Pygmy sperm whale,Kogia breviceps,180491,2,2005/06/25 12:48:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,308,27
328,328_168,26.415633,-77.011267,Atlantic bottlenose dolphin - offshore type,Tursiops truncatus,180426,1,2005/03/03 10:19:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,NA,27.6
328,328_182,25.962367,-77.391467,Blainville's beaked whale,Mesoplodon densirostris,180517,7,2005/08/06 12:37:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,187,26.85
328,328_180,25.924017,-77.349983,Dwarf sperm whale,Kogia sima,180492,3,2005/08/03 12:58:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,646,26.65
328,328_179,25.934683,-77.377117,Unknown beaked whale species,Ziphiidae,180493,1,2005/08/01 18:40:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,455,27.3
328,328_40,25.929617,-77.338767,Blainville's beaked whale,Mesoplodon densirostris,180517,7,2000/08/09 13:09:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,358,29.175
328,328_38,25.931583,-77.374433,Dwarf sperm whale,Kogia sima,180492,1,2000/08/09 12:17:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,309,28.05
328,328_82,25.9431,-77.355333,Blainville's beaked whale,Mesoplodon densirostris,180517,3,2001/10/07 14:21:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,278,25.575
328,328_72,25.979133,-77.406467,Atlantic spotted dolphin,Stenella frontalis,552460,5,2001/05/29 08:16:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,361,25.725
328,328_104,25.917017,-77.349683,Cuvier's beaked whale,Ziphius cavirostris,180498,3,2002/03/15 10:50:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,646,26.625
328,328_117,25.93845,-77.32195,Atlantic spotted dolphin,Stenella frontalis,552460,1,2002/08/12 12:22:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,54,26.625
328,328_127,26.6211,-77.064633,Atlantic bottlenose dolphin - offshore type,Tursiops truncatus,180426,1,2003/03/03 10:50:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,1,28.875
328,328_131,26.56415,-77.10005,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,2,2003/06/24 17:18:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,NA,29.475
328,328_103,25.928017,-77.351633,Sperm whale,Physeter macrocephalus,180488,1,2002/03/14 11:26:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,306,26.4
